Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-10 18:09:54
Kids,tvui,profilesGate,,,2024-01-05 17:32:45
Kids,tvui,browseTitles,,,2024-01-04 17:07:44
Kids,tvui,profilesGate,,,2024-01-04 17:07:44
Kids,tvui,browseTitles,,,2024-01-04 16:37:37
Kids,tvui,movieDetails,,,2024-01-04 16:37:37
Kids,tvui,playback,,,2024-01-04 16:37:36
Kids,tvui,movieDetails,,,2024-01-04 16:37:36
Kids,tvui,movieDetails,,,2024-01-04 16:37:18
Kids,tvui,playback,,,2024-01-04 16:37:18
Kids,tvui,browseTitles,,,2024-01-04 16:37:11
Kids,tvui,movieDetails,,,2024-01-04 16:37:11
Kids,tvui,profilesGate,,,2024-01-04 16:36:39
Kids,tvui,browseTitles,,,2024-01-04 16:36:39
Kids,tvui,profilesGate,,,2024-01-04 16:36:33
Kids,tvui,profilesGate,,,2024-01-04 15:55:21
Kids,tvui,browseTitles,,,2024-01-04 15:55:21
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-04 15:25:23
Kids,tvui,browseTitles,,,2024-01-04 15:25:23
Kids,tvui,profilesGate,,,2024-01-04 15:25:22
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-04 15:25:22
Kids,tvui,profilesGate,,,2024-01-04 15:25:17
Kids,tvui,browseTitles,,,2024-01-03 20:28:54
Kids,tvui,profilesGate,,,2024-01-03 20:28:54
Kids,tvui,browseTitles,,,2024-01-03 19:58:21
Kids,tvui,search,,,2024-01-03 19:58:21
Kids,tvui,search,,,2024-01-03 19:56:04
Kids,tvui,browseTitles,,,2024-01-03 19:56:04
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-03 19:55:30
Kids,tvui,browseTitles,,,2024-01-03 19:55:30
Kids,tvui,profilesGate,,,2024-01-03 19:55:29
Kids,tvui,profileSelectionTransitionAnimation,,,2024-01-03 19:55:29
Kids,tvui,profilesGate,,,2024-01-02 21:49:49
Kids,tvui,profilesGate,,,2024-01-02 18:36:14
Kids,tvui,profilesGate,,,2023-12-31 16:56:54
Kids,tvui,playback,,,2023-12-31 15:45:29
Kids,tvui,movieDetails,,,2023-12-31 15:45:29
Kids,tvui,episodesSelector,,,2023-12-31 15:29:04
Kids,tvui,playback,,,2023-12-31 15:29:04
Kids,tvui,movieDetails,,,2023-12-31 15:28:39
Kids,tvui,episodesSelector,,,2023-12-31 15:28:39
Kids,tvui,movieDetails,,,2023-12-31 15:28:37
Kids,tvui,browseTitles,,,2023-12-31 15:28:37
Kids,tvui,movieDetails,,,2023-12-31 15:28:35
Kids,tvui,browseTitles,,,2023-12-31 15:28:35
Kids,tvui,playback,,,2023-12-31 15:28:34
Kids,tvui,movieDetails,,,2023-12-31 15:28:34
Kids,tvui,playback,,,2023-12-31 15:28:31
Kids,tvui,movieDetails,,,2023-12-31 15:28:31
Kids,tvui,movieDetails,,,2023-12-31 15:28:28
Kids,tvui,browseTitles,,,2023-12-31 15:28:28
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-31 15:27:22
Kids,tvui,browseTitles,,,2023-12-31 15:27:22
Kids,tvui,profilesGate,,,2023-12-31 15:27:20
Kids,tvui,profileSelectionTransitionAnimation,,,2023-12-31 15:27:20
Kids,tvui,profilesGate,,,2023-12-31 15:27:16
Kids,tvui,movieDetails,,,2023-12-24 09:56:48
Kids,tvui,browseTitles,,,2023-12-24 09:56:48
Kids,tvui,playback,,,2023-12-24 09:56:43
Kids,tvui,movieDetails,,,2023-12-24 09:56:43
Kids,tvui,movieDetails,,,2023-12-24 09:56:03
Kids,tvui,playback,,,2023-12-24 09:56:03
Kids,tvui,browseTitles,,,2023-12-24 09:56:00
Kids,tvui,movieDetails,,,2023-12-24 09:56:00
