Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Evis,AL,Smart TV,0,e,,play,title_results,2023-02-10 20:25:22
Evis,AL,Smart TV,0,e,,play,title_results,2023-02-10 20:25:22
Evis,AL,Smart TV,0,e,,select,title_results,2023-02-10 20:23:01
Evis,AL,Smart TV,0,e,,select,title_results,2023-02-10 20:23:01
Evis,AL,Smart TV,0,e,,play,title_results,2023-02-10 20:20:25
Evis,AL,Smart TV,0,e,,play,title_results,2023-02-10 20:20:25
Evis,AL,Smart TV,0,e,,select,title_results,2023-02-10 20:20:22
Evis,AL,Smart TV,0,e,,select,title_results,2023-02-10 20:20:22
Evis,AL,HTML 5,0,everything ,Everything Everywhere All at Once,select,suggestion_results,2023-01-27 18:38:30
Evis,AL,HTML 5,0,everything ,Everything Everywhere All at Once,select,suggestion_results,2023-01-27 18:38:30
Evis,AL,HTML 5,0,tar,Tar,select,suggestion_results,2023-01-27 18:38:16
Evis,AL,HTML 5,0,tar,Tar,select,suggestion_results,2023-01-27 18:38:16
Evis,AL,iPhone,0,lupi,,select,title_results,2022-12-30 13:26:07
Evis,AL,iPhone,0,a bad mom ,A Bad Moms Christmas,select,title_results,2022-12-29 16:03:33
Evis,AL,iPhone,0,,No Limit,select,prequery_results,2022-10-01 14:26:09
Evis,AL,HTML 5,0,amsterdam,,play,title_results,2022-09-26 18:18:34
Evis,AL,HTML 5,0,amsterdam,,play,title_results,2022-09-26 18:18:34
Evis,AL,iPhone,0,no limit,No Limit,add,title_results,2022-09-25 19:08:58
Evis,AL,iPhone,0,no limit,No Limit,select,title_results,2022-09-25 19:08:36
Evis,AL,iPhone,0,family,,select,title_results,2022-09-25 18:40:04
Evis,AL,iPhone,0,cooks,,select,title_results,2022-09-25 18:39:22
Evis,AL,HTML 5,0,baby,,play,title_results,2022-09-17 19:58:37
Evis,AL,HTML 5,0,baby,,play,title_results,2022-09-17 19:58:37
Evis,AL,Smart TV,0,,Purple Hearts,play,prequery_results,2022-08-26 15:40:44
Evis,AL,Smart TV,0,,Purple Hearts,select,prequery_results,2022-08-26 15:40:40
Evis,AL,HTML 5,0,commu,,play,title_results,2022-06-16 19:36:07
Evis,AL,HTML 5,0,commu,,play,title_results,2022-06-16 19:36:07
Evis,AL,iPhone,0,tosc,Toscana,select,title_results,2022-05-29 17:00:08
Evis,AL,iPhone,0,tosc,Toscana,select,title_results,2022-05-29 11:23:03
Evis,AL,Smart TV,0,tu,,play,suggestion_results,2022-04-26 19:25:59
Evis,AL,Smart TV,0,tu,,select,suggestion_results,2022-04-26 19:25:57
Evis,AL,Smart TV,0,tu,,play,suggestion_results,2022-04-26 19:25:28
Evis,AL,Smart TV,0,tu,,select,suggestion_results,2022-04-26 19:25:26
Evis,AL,Smart TV,0,tu,,play,suggestion_results,2022-04-26 19:25:17
Evis,AL,Smart TV,0,tu,,select,suggestion_results,2022-04-26 19:25:15
Evis,AL,Smart TV,0,tu,,play,suggestion_results,2022-04-26 19:24:57
Evis,AL,Smart TV,0,tu,,select,suggestion_results,2022-04-26 19:24:53
Evis,AL,Smart TV,0,tu,,select,suggestion_results,2022-04-26 19:24:43
Evis,AL,Smart TV,0,tu,,select,suggestion_results,2022-04-26 19:24:09
Evis,AL,Smart TV,0,s,Sonic the Hedgehog,select,title_results,2022-04-26 19:21:46
Evis,AL,HTML 5,0,brooklyn,"Brooklyn Nine-Nine: Season 1: ""Pilot""",play,title_results,2022-04-07 20:01:40
Evis,AL,Smart TV,0,tu,,play,suggestion_results,2022-03-16 20:16:20
Evis,AL,Smart TV,0,tu,,select,suggestion_results,2022-03-16 20:16:17
Evis,AL,Smart TV,0,tu,,select,suggestion_results,2022-03-16 20:15:28
Evis,AL,Smart TV,0,tu,,select,suggestion_results,2022-03-16 20:15:16
Evis,AL,Smart TV,0,red,Red Notice,play,title_results,2022-03-13 20:53:27
Evis,AL,Smart TV,0,red,Red Notice,select,title_results,2022-03-13 20:53:24
Evis,AL,Smart TV,0,,,play,suggestion_results,2022-03-13 20:50:57
Evis,AL,Smart TV,0,,,select,suggestion_results,2022-03-13 20:50:54
Evis,AL,Smart TV,0,,,select,suggestion_results,2022-03-13 20:50:44
Evis,AL,HTML 5,0,brookl,,play,title_results,2022-03-02 20:14:50
Evis,AL,Smart TV,0,,,play,prequery_results,2022-02-28 20:16:50
Evis,AL,Smart TV,0,,,select,prequery_results,2022-02-28 20:16:47
Evis,AL,Smart TV,0,daaw,,play,title_results,2022-02-13 20:04:56
Evis,AL,Smart TV,0,daaw,,play,title_results,2022-02-13 19:55:03
Evis,AL,Smart TV,0,daaw,,select,title_results,2022-02-13 19:54:57
Evis,AL,Smart TV,0,daw,,play,suggestion_results,2022-01-20 19:55:13
Evis,AL,Smart TV,0,daw,,select,suggestion_results,2022-01-20 19:55:08
Evis,AL,Smart TV,0,daw,Dawson's Creek: Series Finale,select,suggestion_results,2022-01-20 19:54:33
Evis,AL,iPhone,0,my big,My Big Fat Greek Wedding 2,select,title_results,2022-01-15 17:03:29
Evis,AL,Smart TV,0,hote,,play,title_results,2022-01-13 19:48:56
Evis,AL,Smart TV,0,hote,,select,title_results,2022-01-13 19:48:50
Evis,AL,Smart TV,0,hot,,play,title_results,2022-01-12 20:16:21
Evis,AL,Smart TV,0,hot,,select,title_results,2022-01-12 20:16:16
Evis,AL,Smart TV,0,scene,,play,suggestion_results,2021-10-17 18:53:58
Evis,AL,Smart TV,0,scene,,select,suggestion_results,2021-10-17 18:53:54
Evis,AL,Smart TV,0,scene,,select,suggestion_results,2021-10-17 18:53:34
Evis,AL,Smart TV,0,scene,Scenes from a Marriage,select,suggestion_results,2021-10-17 18:53:23
Evis,AL,Smart TV,0,emi,,play,title_results,2021-09-10 18:17:25
Evis,AL,Smart TV,0,emi,,select,title_results,2021-09-10 18:17:22
Evis,AL,HTML 5,0,the chair,"The Chair: Season 1: ""Brilliant Mistake""",play,title_results,2021-08-27 18:15:48
Evis,AL,HTML 5,0,blacklist,"The Blacklist: Season 1: ""The Freelancer (No. 145)""",play,title_results,2021-07-14 18:21:16
Evis,AL,HTML 5,0,nine,,play,title_results,2021-07-07 10:24:07
Evis,AL,HTML 5,0,master of none,,play,,2021-01-16 14:29:04
Evis,AL,HTML 5,0,bla,"The Blacklist: Season 1: ""Pilot""",play,,2020-12-22 13:24:54
Evis,AL,HTML 5,0,breaking bad,"Breaking Bad: Season 1: ""Pilot""",play,,2020-10-27 09:32:11
Evis,AL,HTML 5,0,breaking bad,,play,,2020-10-27 08:35:42
Evis,AL,HTML 5,0,the office,,select,,2020-10-27 07:59:44
Evis,AL,HTML 5,0,coac,Coach Carter,play,,2020-08-04 11:00:13
Evis,AL,HTML 5,0,big bang,,play,,2020-07-21 10:13:03
Evis,AL,HTML 5,0,rounders,The Lincoln Lawyer,play,,2020-07-03 08:43:54
Evis,AL,HTML 5,0,scherlock,,play,,2020-06-29 11:17:26
Evis,AL,HTML 5,0,suits,,play,,2020-06-19 21:21:57
Evis,AL,HTML 5,0,suits,,select,,2020-06-11 18:08:50
Evis,AL,iPhone,0,suits,,select,,2020-06-11 18:05:03
Evis,AL,HTML 5,0,suits,,play,,2020-05-05 19:14:52
Evis,AL,HTML 5,0,the crown,,play,,
Evis,AL,HTML 5,0,the yard,,select,,
Evis,AL,HTML 5,0,the crown,,select,,
Redona,AL,Android Phone,0,your pl,Your Place or Mine,select,title_results,2024-03-02 15:02:36
Redona,AL,Android Phone,0,your pl,Your Place or Mine,add,title_results,2024-03-02 15:02:32
Redona,AL,Android Phone,0,your pl,Your Place or Mine,select,title_results,2024-03-02 15:02:28
Redona,AL,Android Phone,0,your pla,Your Place or Mine,add,title_results,2024-03-02 15:00:44
Redona,AL,Android Phone,0,your pla,Your Place or Mine,select,title_results,2024-03-02 15:00:42
Redona,AL,Android Phone,0,maestro,Maestro,select,title_results,2024-02-29 20:16:01
Redona,AL,Android Phone,0,one day,One Day More,select,title_results,2024-02-25 13:54:23
Redona,AL,Android Phone,0,one day,,add,title_results,2024-02-25 08:51:11
Redona,AL,Android Phone,0,one day,,select,title_results,2024-02-25 08:51:01
Redona,AL,Android Phone,0,alba,,add,title_results,2024-02-23 19:22:27
Redona,AL,Android Phone,0,alba,,select,title_results,2024-02-23 19:22:21
Redona,AL,Android Phone,0,a brit,,select,title_results,2024-02-23 19:15:21
Redona,AL,Android Phone,0,the gentle,Lift,select,title_results,2024-02-16 20:00:47
Redona,AL,Android Phone,0,the gentle,,select,title_results,2024-02-16 20:00:26
Redona,AL,Android Phone,0,,November Criminals,select,prequery_results,2024-02-09 20:13:34
Redona,AL,Android Phone,0,,I Love Lizzy,select,prequery_results,2024-02-09 20:13:07
Redona,AL,Android Phone,0,,,select,prequery_results,2024-02-09 20:12:53
Redona,AL,Android Phone,0,,I Love Lizzy,select,prequery_results,2024-02-09 20:12:28
Redona,AL,Android Phone,0,sick of my,Murder on The Orient Express,select,title_results,2024-02-09 20:11:30
Redona,AL,Android Phone,0,sick of my,Poisoned: The Dirty Truth About Your Food,select,title_results,2024-02-09 20:11:13
Redona,AL,Android Phone,0,sick of my,,select,title_results,2024-02-09 20:10:53
Redona,AL,Android Phone,0,sick of my,28 Days,select,title_results,2024-02-09 20:10:47
Redona,AL,Android Phone,0,sick of my,,select,title_results,2024-02-09 20:10:37
Redona,AL,Android Phone,0,sick of my,,select,title_results,2024-02-09 20:10:03
Redona,AL,Android Phone,0,sick of my,,select,title_results,2024-02-09 20:09:09
Redona,AL,Android Phone,0,sick of my,God's Crooked Lines,select,title_results,2024-02-09 20:08:54
Redona,AL,Android Phone,0,sick of my,The Trip,select,title_results,2024-02-09 20:08:49
Redona,AL,Android Phone,0,maes,Maestro,add,title_results,2024-01-31 19:58:17
Redona,AL,Android Phone,0,maes,Maestro,select,title_results,2024-01-31 19:58:15
Redona,AL,Android Phone,0,deep fear,Deep Fear,add,title_results,2024-01-31 19:58:07
Redona,AL,Android Phone,0,deep fear,Deep Fear,select,title_results,2024-01-31 19:57:56
Redona,AL,Android Phone,0,inno,,add,title_results,2024-01-28 19:27:09
Redona,AL,Android Phone,0,inno,,select,title_results,2024-01-28 19:27:07
Redona,AL,Android Phone,0,nyad,NYAD,select,title_results,2024-01-28 12:58:01
Redona,AL,Android Phone,0,coben,,select,title_results,2024-01-21 15:08:49
Redona,AL,Android Phone,0,coben,,select,title_results,2024-01-21 15:08:42
Redona,AL,Android Phone,0,fury,Fury,select,title_results,2024-01-21 13:24:42
Redona,AL,Android Phone,0,you are ,,add,title_results,2024-01-21 13:23:45
Redona,AL,Android Phone,0,you are ,,select,title_results,2024-01-21 13:23:36
Redona,AL,Android Phone,0,the fall ,Luther: The Fallen Sun,select,title_results,2024-01-21 13:23:20
Redona,AL,Android Phone,0,the fall ,,add,title_results,2024-01-21 13:22:41
Redona,AL,Android Phone,0,the fall ,,select,title_results,2024-01-21 13:22:33
Redona,AL,Android Phone,0,stay close,,select,title_results,2024-01-13 14:17:59
Redona,AL,Android Phone,0,soci,Society of the Snow,add,title_results,2024-01-11 20:27:34
Redona,AL,Android Phone,0,soci,Society of the Snow,select,title_results,2024-01-11 20:27:21
Redona,AL,Android Phone,0,dubai ,,add,title_results,2024-01-01 20:48:44
Redona,AL,Android Phone,0,dubai ,,select,title_results,2024-01-01 20:48:30
Redona,AL,Android Phone,0,sempre natale,Christmas as Usual,add,title_results,2023-12-30 14:33:35
Redona,AL,Android Phone,0,sempre natale,Christmas as Usual,select,title_results,2023-12-30 14:33:24
Redona,AL,Android Phone,0,bad s,,add,title_results,2023-12-30 14:32:03
Redona,AL,Android Phone,0,bad s,,select,title_results,2023-12-30 14:31:25
Redona,AL,Android Phone,0,emily in paris,,select,title_results,2023-12-30 14:29:59
Redona,AL,Android Phone,0,the snowman,The Claus Family,add,title_results,2023-12-17 14:11:29
Redona,AL,Android Phone,0,the snowman,The Claus Family,select,title_results,2023-12-17 14:11:23
Redona,AL,Android Phone,0,arthur ,Arthur Christmas,add,title_results,2023-12-17 14:10:28
Redona,AL,Android Phone,0,arthur ,Arthur Christmas,select,title_results,2023-12-17 14:10:25
Redona,AL,Android Phone,0,the christmas ch,The Christmas Chronicles,select,title_results,2023-12-17 14:10:10
Redona,AL,Android Phone,0,klaus,Klaus,add,title_results,2023-12-17 14:09:20
Redona,AL,Android Phone,0,klaus,Klaus,select,title_results,2023-12-17 14:09:16
Redona,AL,Android Phone,0,how the grinch,How the Grinch Stole Christmas,select,title_results,2023-12-17 14:08:07
Redona,AL,Android Phone,0,love actually,Love Actually,add,title_results,2023-12-17 14:07:55
Redona,AL,Android Phone,0,love actually,Love Actually,select,title_results,2023-12-17 14:07:42
Redona,AL,Android Phone,0,the night ,,add,title_results,2023-12-17 13:25:10
Redona,AL,Android Phone,0,the night ,,select,title_results,2023-12-17 13:25:01
Redona,AL,Android Phone,0,nyad,NYAD,add,title_results,2023-12-10 14:23:40
Redona,AL,Android Phone,0,nyad,NYAD,select,title_results,2023-12-10 14:23:05
Redona,AL,Android Phone,0,czar,,select,title_results,2023-12-03 16:13:32
Redona,AL,Android Phone,0,almost ,,add,title_results,2023-12-03 14:09:45
Redona,AL,Android Phone,0,almost ,,select,title_results,2023-12-03 14:09:40
Redona,AL,Android Phone,0,snow ,,add,title_results,2023-11-25 20:49:11
Redona,AL,Android Phone,0,snow ,,select,title_results,2023-11-25 20:49:09
Redona,AL,Android Phone,0,gaga,Gaga: Five Foot Two,select,title_results,2023-11-25 19:26:17
Redona,AL,Android Phone,0,pact,,add,title_results,2023-11-17 19:38:16
Redona,AL,Android Phone,0,pact,,select,title_results,2023-11-17 19:38:13
Redona,AL,Android Phone,0,fubar,,select,title_results,2023-11-04 13:41:05
