Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Kids,Plot Clip: Roald Dahl's Matilda The Musical,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-21 19:37:28,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4074,""mediaOffsetMs"":0}]"
Kids,Home Alone,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 20:55:25,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":4219548},{""eventType"":""playing"",""sessionOffsetMs"":2819,""mediaOffsetMs"":4219548},{""eventType"":""paused"",""sessionOffsetMs"":5540,""mediaOffsetMs"":4221846},{""eventType"":""playing"",""sessionOffsetMs"":24321,""mediaOffsetMs"":4221846},{""eventType"":""paused"",""sessionOffsetMs"":26490,""mediaOffsetMs"":4224322},{""eventType"":""playing"",""sessionOffsetMs"":27156,""mediaOffsetMs"":4224322},{""eventType"":""playing"",""sessionOffsetMs"":45074,""mediaOffsetMs"":4242240},{""eventType"":""playing"",""sessionOffsetMs"":51090,""mediaOffsetMs"":4248256},{""eventType"":""playing"",""sessionOffsetMs"":59090,""mediaOffsetMs"":4256256},{""eventType"":""playing"",""sessionOffsetMs"":65106,""mediaOffsetMs"":4262272},{""eventType"":""paused"",""sessionOffsetMs"":810426,""mediaOffsetMs"":5006651},{""eventType"":""playing"",""sessionOffsetMs"":816422,""mediaOffsetMs"":5006651},{""eventType"":""paused"",""sessionOffsetMs"":1760507,""mediaOffsetMs"":5951029},{""eventType"":""stopped"",""sessionOffsetMs"":1762543,""mediaOffsetMs"":5951676}]"
Kids,Home Alone,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 20:20:02,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2217256},{""eventType"":""playing"",""sessionOffsetMs"":2390,""mediaOffsetMs"":2217256},{""eventType"":""playing"",""sessionOffsetMs"":23374,""mediaOffsetMs"":2238240},{""eventType"":""playing"",""sessionOffsetMs"":29390,""mediaOffsetMs"":2244256},{""eventType"":""paused"",""sessionOffsetMs"":34377,""mediaOffsetMs"":2249097},{""eventType"":""reposition"",""sessionOffsetMs"":95619,""mediaOffsetMs"":2240000},{""eventType"":""playing"",""sessionOffsetMs"":95982,""mediaOffsetMs"":2240000},{""eventType"":""paused"",""sessionOffsetMs"":104783,""mediaOffsetMs"":2249098},{""eventType"":""reposition"",""sessionOffsetMs"":107195,""mediaOffsetMs"":2250000},{""eventType"":""playing"",""sessionOffsetMs"":107596,""mediaOffsetMs"":2249247},{""eventType"":""paused"",""sessionOffsetMs"":119077,""mediaOffsetMs"":2260460},{""eventType"":""reposition"",""sessionOffsetMs"":120739,""mediaOffsetMs"":2240000},{""eventType"":""playing"",""sessionOffsetMs"":121741,""mediaOffsetMs"":2236609},{""eventType"":""paused"",""sessionOffsetMs"":130399,""mediaOffsetMs"":2245027},{""eventType"":""reposition"",""sessionOffsetMs"":132166,""mediaOffsetMs"":2240000},{""eventType"":""playing"",""sessionOffsetMs"":132420,""mediaOffsetMs"":2240000},{""eventType"":""paused"",""sessionOffsetMs"":2116649,""mediaOffsetMs"":4221445},{""eventType"":""stopped"",""sessionOffsetMs"":2118323,""mediaOffsetMs"":4222927}]"
Kids,Home Alone,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:50,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2041,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":22073,""mediaOffsetMs"":20032},{""eventType"":""playing"",""sessionOffsetMs"":30073,""mediaOffsetMs"":28032},{""eventType"":""playing"",""sessionOffsetMs"":36089,""mediaOffsetMs"":34048},{""eventType"":""playing"",""sessionOffsetMs"":44089,""mediaOffsetMs"":42048},{""eventType"":""paused"",""sessionOffsetMs"":2222977,""mediaOffsetMs"":2218356},{""eventType"":""stopped"",""sessionOffsetMs"":2225519,""mediaOffsetMs"":2218356}]"
Kids,The Garfield Show: Season 1 - CLM 4,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:26,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1558,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1611,""mediaOffsetMs"":13},{""eventType"":""stopped"",""sessionOffsetMs"":6582,""mediaOffsetMs"":13}]"
Kids,A Series of Unfortunate Events (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:24,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1000},{""eventType"":""stopped"",""sessionOffsetMs"":939,""mediaOffsetMs"":1000}]"
Kids,A Series of Unfortunate Events (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:23,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":582,""mediaOffsetMs"":0}]"
Kids,Trailer: Nimona,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:22,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1587,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1903,""mediaOffsetMs"":109},{""eventType"":""stopped"",""sessionOffsetMs"":3169,""mediaOffsetMs"":317}]"
Kids,Trailer: Chicken Run: Dawn of the Nugget,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:21,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":28},{""eventType"":""stopped"",""sessionOffsetMs"":576,""mediaOffsetMs"":28}]"
Kids,Season 2 Trailer: The Inbestigators,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:21,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":886,""mediaOffsetMs"":0}]"
Kids,Trailer: The Bad Guys: A Very Bad Holiday,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:18,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1436,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1618,""mediaOffsetMs"":28},{""eventType"":""stopped"",""sessionOffsetMs"":2921,""mediaOffsetMs"":168}]"
Kids,Trailer: Finding ‘Ohana,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:10,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2389,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":7987,""mediaOffsetMs"":5609},{""eventType"":""stopped"",""sessionOffsetMs"":9270,""mediaOffsetMs"":5839}]"
Kids,Trollhunters (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:09,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1172,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1505,""mediaOffsetMs"":13},{""eventType"":""stopped"",""sessionOffsetMs"":2814,""mediaOffsetMs"":236}]"
Kids,Carmen Sandiego: Season 1 (Trailer),Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:08,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1163,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1440,""mediaOffsetMs"":104},{""eventType"":""stopped"",""sessionOffsetMs"":2793,""mediaOffsetMs"":274}]"
Kids,Netflix Original Trailer: Pretty Guardian Sailor Moon Eternal The Movie,Samsung CE 2023 NikeL QLED TV Smart TV,2024-02-16 19:42:07,AL,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":978,""mediaOffsetMs"":0}]"
