Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-04-25,2022-04-25,2022-05-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-05-25
2022-04-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-04-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-04-25,2022-04-25,2022-05-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-05-25
2022-04-25,2022-04-25,2022-05-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-05-25
2022-04-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-03-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-03-25,2022-03-25,2022-04-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-04-25
2022-03-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-03-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-03-25,2022-03-25,2022-04-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-04-25
2022-03-25,2022-03-25,2022-04-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-04-25
2022-02-25,2022-02-25,2022-03-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-03-25
2022-02-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-02-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2022-02-25,2022-02-25,2022-03-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-03-25
2022-02-25,2022-02-25,2022-03-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-03-25
2022-02-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-01-25,2022-01-25,2022-02-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-02-25
2022-01-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2022-01-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2022-01-25,2022-01-25,2022-02-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-02-25
2022-01-25,2022-01-25,2022-02-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-02-25
2022-01-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2021-12-25,2021-12-25,2022-01-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2022-01-25
2021-12-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-12-25,2021-12-25,2022-01-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2022-01-25
2021-12-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2021-12-25,2021-12-25,2022-01-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2022-01-25
2021-12-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-11-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-11-25,2021-11-25,2021-12-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-12-25
2021-11-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-11-25,2021-11-25,2021-12-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2021-12-25
2021-11-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2021-11-25,2021-11-25,2021-12-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-12-25
2021-10-25,2021-10-25,2021-11-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-11-25
2021-10-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-10-25,2021-10-25,2021-11-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2021-11-25
2021-10-25,2021-10-25,2021-11-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-11-25
2021-10-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2021-10-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-09-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-09-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-09-25,2021-09-25,2021-10-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-10-25
2021-09-25,2021-09-25,2021-10-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2021-10-25
2021-09-25,2021-09-25,2021-10-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-10-25
2021-09-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2021-08-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2021-08-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-08-29,2021-08-29,2021-09-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-09-29
2021-08-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-08-29,2021-08-29,2021-09-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-09-29
2021-08-29,2021-08-29,2021-09-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2021-09-29
2021-07-29,2021-07-29,2021-08-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-08-29
2021-07-29,2021-07-29,2021-08-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-08-29
2021-07-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-07-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2021-07-29,2021-07-29,2021-08-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2021-08-29
2021-07-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-06-29,2021-06-29,2021-07-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-07-29
2021-06-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2021-06-29,2021-06-29,2021-07-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-07-29
2021-06-29,2021-06-29,2021-07-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2021-07-29
2021-06-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-06-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-05-29,2021-05-29,2021-06-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,NEW,SETTLED,AL,2021-06-29
2021-05-29,2021-05-29,2021-06-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-06-29
2021-05-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-05-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-05-29,2021-05-29,2021-06-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-06-29
2021-05-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,NEW,,AL,
2021-04-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-04-29,2021-04-29,2021-05-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-05-29
2021-04-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-04-29,2021-04-29,2021-05-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-05-29
2021-03-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-03-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-03-29,2021-03-29,2021-04-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-04-29
2021-03-29,2021-03-29,2021-04-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-04-29
2021-02-28,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
