Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2021-02-28,2021-02-28,2021-03-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-03-29
2021-02-28,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-02-28,2021-02-28,2021-03-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-03-29
2021-01-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2021-01-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2021-01-29,2021-01-29,2021-02-27,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-02-28
2021-01-29,2021-01-29,2021-02-27,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-02-28
2020-12-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2020-12-29,2020-12-29,2021-01-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2021-01-29
2020-12-29,2020-12-29,2021-01-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2021-01-29
2020-12-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2020-11-29,2020-11-29,2020-12-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2020-12-29
2020-11-29,2020-11-29,2020-12-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2020-12-29
2020-11-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2020-11-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2020-10-29,2020-10-29,2020-11-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2020-11-29
2020-10-29,2020-10-29,2020-11-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2020-11-29
2020-10-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2020-10-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2020-09-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2020-09-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2020-09-29,2020-09-29,2020-10-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2020-10-29
2020-09-29,2020-09-29,2020-10-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2020-10-29
2020-08-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2020-08-29,2020-08-29,2020-09-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2020-09-29
2020-08-29,2020-08-29,2020-09-28,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2020-09-29
2020-08-29,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2020-07-29,2020-07-29,2020-08-28,SUBSCRIPTION,FREE_TRIAL,0051,,PAYMENTECH,7.99,EUR,1.33,7.99,CAPTURE,APPROVED,SETTLED,AL,2020-08-29
2020-07-29,,,payment_transaction,CC,0051,,,,EUR,,7.99,CAPTURE,APPROVED,,AL,
2020-07-29,,,payment_transaction,CC,0051,,,,EUR,,7.99,CHARGE,APPROVED,,AL,
2020-07-29,2020-07-29,2020-08-28,SUBSCRIPTION,FREE_TRIAL,0051,,PAYMENTECH,7.99,EUR,1.33,7.99,CHARGE,APPROVED,SETTLED,AL,2020-08-29
2020-06-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2020-06-25,2020-06-25,2020-07-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2020-07-25
2020-06-25,2020-06-25,2020-07-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2020-07-25
2020-06-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2020-05-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,PENDING,,AL,
2020-05-25,2020-05-25,2020-06-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,PENDING,SETTLED,AL,2020-06-25
2020-05-25,2020-05-25,2020-06-24,SUBSCRIPTION,MASTERCARD,0051,,PAYMENTECH,9.99,EUR,1.66,9.99,SALE,APPROVED,SETTLED,AL,2020-06-25
2020-05-25,,,payment_transaction,CC,0051,,,,EUR,,9.99,SALE,APPROVED,,AL,
2020-04-24,2020-04-24,2020-05-24,SUBSCRIPTION,FREE_TRIAL,0051,,,9.99,EUR,0.0,0.0,,,SETTLED,AL,2020-05-25
2020-04-24,,,payment_transaction,CC,0051,,,,EUR,,0.0,VALIDATE,APPROVED,,AL,
