Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Evis,NFCDCH-02-JMV6DUVP2RJ0HPWK54L9AM6D8GEH9M,Chrome PC (Cadmium),2022-10-17T18:06:31.808,2022-11-22T21:13:58.848,2022-10-17T18:06:48.656,2022-11-22T21:13:58.848,2022-10-17T18:06:31.808,2022-11-22T21:13:58.848,2022-10-17T18:06:48.656,2022-11-22T21:13:58.848,1970-01-01T00:00:00.000
Evis,NFCDCH-02-JL3V6FAA50G3XK90PUWJ96XXLALGUH,Chrome PC (Cadmium),2022-09-26T18:18:35.440,2022-10-13T20:16:00.254,2022-09-26T18:18:35.440,2022-10-13T19:54:31.158,2022-09-26T18:18:35.440,2022-10-13T20:16:00.254,2022-09-26T18:18:35.440,2022-10-13T19:54:31.158,1970-01-01T00:00:00.000
Evis,NFCDCH-02-JHGQ85WXQ5UC986X20DRMPML495J6F,Chrome PC (Cadmium),2022-08-25T20:36:41.456,2022-09-22T19:12:01.694,2022-08-25T20:36:41.456,2022-09-22T19:12:01.694,2022-08-25T20:36:41.456,2022-09-22T19:12:01.694,2022-08-25T20:36:41.456,2022-09-22T19:12:01.694,1970-01-01T00:00:00.000
Evis,NFCDCH-02-JH7T607KXFWTY473QDRWGXJ1R8D9K9,Chrome PC (Cadmium),2022-08-22T20:19:54.212,2022-08-22T20:50:34.808,2022-08-22T20:19:54.212,2022-08-22T20:50:34.808,2022-08-22T20:19:54.212,2022-08-22T20:50:34.808,2022-08-22T20:19:54.212,2022-08-22T20:50:34.808,1970-01-01T00:00:00.000
Evis,NFCDCH-02-JH71WV0T8GFNC1W577MRFKQ1JMAM7Q,Chrome PC (Cadmium),2022-08-22T13:42:06.347,2022-08-22T20:18:50.980,2022-08-22T13:42:31.966,2022-08-22T20:18:50.980,2022-08-22T13:42:06.347,2022-08-22T20:18:50.980,2022-08-22T13:42:31.966,2022-08-22T20:18:50.980,1970-01-01T00:00:00.000
Evis,NFCDCH-02-JEN7K2XHWRR3N6LXCLJ3MHEXDC74QU,Chrome PC (Cadmium),2022-07-22T12:56:00.584,2022-08-10T21:19:15.316,2022-07-22T12:56:16.604,2022-08-10T21:19:15.316,2022-07-22T12:56:00.584,2022-08-10T21:19:15.316,2022-07-22T12:56:16.604,2022-08-10T21:19:15.316,1970-01-01T00:00:00.000
Evis,NFCDCH-02-JFHA8PH7WM7QNLXQ8KDN6L3PWTX7GH,Chrome PC (Cadmium),2022-08-01T19:28:04.751,2022-08-01T20:57:29.880,2022-08-01T19:28:39.939,2022-08-01T20:57:29.880,2022-08-01T19:28:04.751,2022-08-01T20:57:29.880,2022-08-01T19:28:39.939,2022-08-01T20:57:29.880,1970-01-01T00:00:00.000
Evis,NFCDCH-02-HX0WXM5CDP0TYFA1FKHMXT0JAJCFLH,Chrome PC (Cadmium),2022-01-03T13:27:58.660,2022-07-22T06:04:28.432,2022-03-07T16:54:30.084,2022-07-22T06:04:28.432,2022-01-03T13:27:58.660,2022-07-22T06:04:28.432,2022-03-07T16:54:30.084,2022-07-22T06:04:28.432,1970-01-01T00:00:00.000
Evis,NFANDROID1-PRV-P-L3-SAMSUSM-A750F-22585-03E09D1EF5C871569947F3E09826CB110CFFB25EC62245AC531B64807931F219F,Android DefaultWidevineL3Phone Android Phone,2022-06-27T18:06:07.468,2022-06-30T20:27:12.316,2022-06-27T18:06:07.468,2022-06-30T20:27:12.316,2022-06-27T18:06:07.468,2022-06-30T20:27:12.316,2022-06-27T18:06:07.468,2022-06-30T20:27:12.316,1970-01-01T00:00:00.000
Evis,NFCDCH-02-HV79R51V3P7DNV92KKATJTJGDJ06E4,Chrome PC (Cadmium),2021-12-11T13:11:57.544,2021-12-29T10:34:49.791,,,2021-12-11T13:11:57.544,2021-12-29T10:34:49.791,,,1970-01-01T00:00:00.000
